device_id,secret
OP212010300100049,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5f
OP212010300100050,XFtZWFhZWVVZXlVfWlpdXUEiPV9dX11dVV9dXVxcXVhdXEFcVFxeWVxZWV1dQT5g
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
